ID,E1,A2,C3R,N4R,O5R,E6,A7,C8R,N9R,O10,E11R,A12R,C13,N14,O15,E16R,A17R,C18,N19,O20,E21,A22R,C23R,N24R,O25R,E26R,A27,C28R,N29R,O30R,E31R,A32,C33,N34,O35,E36R,A37R,C38,N39,O40,E41,A42R,C43,N44R,O45R,E46,A47R,C48R,N49R,O50R,E51R,A52,C53,N54,O55R,E56,A57,C58R,N59,O60
88,2,5,2,4,4,1,5,1,3,3,2,3,5,3,4,4,5,4,2,4,3,1,2,5,4,4,4,3,5,3,4,4,3,2,4,3,3,4,1,2,3,4,4,3,3,3,1,1,5,3,4,5,5,1,3,3,4,1,2,3
89,2,5,4,4,4,1,5,4,2,5,2,1,4,1,4,5,1,2,4,3,1,1,4,1,1,2,5,4,4,2,5,5,2,4,5,4,2,4,5,4,2,1,4,4,1,2,2,5,4,1,5,4,4,4,1,4,4,4,2,4
90,2,5,2,5,2,4,5,1,3,5,4,1,5,1,3,1,1,4,4,4,4,1,2,5,1,1,5,2,5,2,1,4,4,1,5,4,1,5,1,4,4,4,5,4,1,4,1,1,5,2,1,5,5,1,1,3,2,2,4,4
91,2,4,2,4,4,2,4,1,4,2,4,2,4,2,2,5,2,4,2,2,2,1,2,4,4,2,4,2,4,4,4,4,4,4,4,4,2,4,1,2,4,2,4,4,4,1,1,2,4,4,4,4,4,1,4,2,4,2,3,2
92,5,5,1,5,1,1,5,1,5,5,2,1,5,1,4,1,1,5,1,5,1,1,1,5,3,1,3,1,5,2,1,5,5,1,4,3,1,5,3,3,4,1,5,5,1,5,1,1,5,1,5,5,5,3,2,5,5,1,1,5
93,4,5,2,3,2,2,5,1,3,4,2,1,4,2,4,4,1,4,4,5,4,1,2,3,2,4,5,2,4,1,4,5,4,5,5,4,1,5,4,4,3,2,3,4,2,2,1,2,2,1,4,5,4,3,1,4,5,1,3,4
94,2,5,1,5,1,5,5,1,5,5,1,1,5,1,5,5,1,5,2,5,5,1,1,5,1,1,5,1,5,1,2,5,4,4,5,2,2,5,1,5,4,4,5,5,1,2,3,2,3,1,1,5,5,1,1,5,5,4,1,5
95,4,4,5,5,1,3,3,5,3,5,5,4,5,1,4,4,1,2,2,5,3,4,2,4,1,2,4,5,5,1,5,4,1,1,5,2,5,5,2,4,1,4,4,5,1,4,5,1,4,1,1,3,4,2,1,1,3,5,1,4
96,5,4,4,5,1,2,5,1,5,5,4,1,4,1,4,1,1,1,1,5,1,1,2,5,1,1,5,4,4,1,1,5,2,1,4,4,1,4,1,5,5,1,4,4,1,5,1,1,5,1,5,5,4,1,2,5,5,4,1,4
97,5,5,1,5,3,4,5,1,5,5,2,2,5,2,5,1,4,4,1,4,4,2,2,5,1,1,4,1,5,1,1,4,4,1,5,1,1,5,2,4,4,2,5,4,2,4,1,1,5,1,2,4,5,2,5,4,4,1,1,4
98,4,3,1,5,3,5,5,5,1,5,1,5,5,2,4,1,4,5,2,1,5,3,1,5,3,3,1,1,5,3,3,3,5,1,3,3,3,5,2,4,4,5,5,5,1,5,3,1,5,5,1,4,5,1,3,4,1,1,1,4
99,4,5,2,4,2,5,4,2,4,4,3,2,4,2,4,4,4,5,4,5,5,2,3,4,2,4,5,2,5,1,4,4,3,2,5,3,2,4,2,4,4,2,4,5,1,4,2,2,2,3,3,5,4,2,2,5,4,2,2,4
100,2,5,3,3,1,1,5,2,2,5,3,1,4,2,4,5,1,2,4,5,1,1,4,1,1,3,5,4,4,1,5,4,2,5,5,3,1,4,4,5,2,2,4,4,1,2,1,1,1,1,4,5,3,4,1,2,4,3,1,5
101,2,4,5,4,5,4,5,4,5,4,5,4,3,4,5,5,4,5,4,3,5,4,5,4,5,4,5,4,4,5,5,4,4,5,2,4,5,4,3,5,4,4,5,4,3,5,4,5,4,5,5,4,4,5,4,4,4,5,4,4
102,4,5,1,5,2,3,5,1,5,5,1,1,5,1,5,4,1,5,1,4,4,1,1,5,2,2,5,1,5,2,4,5,5,2,4,2,1,5,1,5,4,1,5,5,1,3,1,1,5,2,3,5,5,1,3,5,5,1,1,5
103,2,5,4,2,2,1,5,2,4,4,2,2,5,2,4,5,1,4,4,4,1,1,2,2,4,4,4,2,4,2,5,5,2,4,4,4,1,4,2,2,1,2,4,2,2,2,1,2,2,3,4,5,4,1,3,4,4,1,2,4
104,4,5,1,2,2,2,5,1,3,4,2,2,5,4,2,4,1,4,4,3,2,1,4,4,4,4,5,2,2,2,4,5,5,5,5,4,2,5,5,5,4,2,5,4,3,4,2,1,2,2,4,5,5,4,2,4,5,2,4,2
105,4,4,1,5,4,4,5,1,4,5,3,4,5,2,4,3,1,4,3,2,3,1,1,4,3,2,4,1,5,4,3,4,4,1,2,2,2,4,1,4,4,4,4,5,2,3,2,1,3,4,3,4,5,1,3,3,3,4,2,2
